LanguageName,long,short,total,have_long,area
Lavukaleve,0,5,5,FALSE,Papua
Laz,0,5,5,FALSE,Eurasia
Leco,0,6,6,FALSE,South America
lega-shabunda,7,7,14,TRUE,Africa
LELEMI,0,12,12,FALSE,Africa
LENAKEL,0,6,6,FALSE,Papua
lendu,0,8,8,FALSE,Africa
Lengola,0,5,5,FALSE,Africa
ligbi,0,14,14,FALSE,Africa
limbum,0,7,7,FALSE,Africa
lingala,0,7,7,FALSE,Africa
Lisu,0,8,8,FALSE,Eurasia
Lithuanian,6,5,11,TRUE,Eurasia
LITHUANIAN,6,10,16,TRUE,Eurasia
Logba,0,7,7,FALSE,Africa
Logo,0,9,9,FALSE,Africa
Lokono,0,5,5,FALSE,South America
Loniu,0,7,7,FALSE,Papua
lugbara,0,10,10,FALSE,Africa
LUGBARA,0,10,10,FALSE,Africa
Luiseno,5,6,11,TRUE,North America
LUISENO,0,5,5,FALSE,North America
Lule,0,5,5,FALSE,South America
Lumun,8,8,16,TRUE,Africa
Lunda,5,5,10,TRUE,Africa
Luvale,5,5,10,TRUE,Africa
Luwo,2,8,10,TRUE,Africa
Ma'di,0,9,9,FALSE,Africa
Maay,5,5,10,TRUE,Africa
Mabaan,11,11,22,TRUE,Africa
Macedonian,0,6,6,FALSE,Eurasia
machame,5,5,10,TRUE,Africa
Macuna,0,12,12,FALSE,South America
Macushi,6,6,12,TRUE,South America
Madi,0,9,9,FALSE,Papua
Madurese,0,8,8,FALSE,Papua
Maithili,0,8,8,FALSE,Eurasia
Mal,9,13,22,TRUE,Eurasia
Malayalam,5,8,13,TRUE,Eurasia
Maltese,5,5,10,TRUE,Eurasia
mampruli,5,5,10,TRUE,Africa
Mampruli,5,5,10,TRUE,Africa
Manado Malay,0,6,6,FALSE,Papua
Manam,0,5,5,FALSE,Papua
Manange,0,10,10,FALSE,Eurasia
MANCHU,0,7,7,FALSE,Eurasia
Mandara,3,2,5,TRUE,Papua
Mandarin Chinese,0,12,12,FALSE,Eurasia
Manipuri,5,9,14,TRUE,Eurasia
Manya,0,7,7,FALSE,Africa
Maori,5,5,10,TRUE,Papua
Mapoyo,0,7,7,FALSE,South America
Mapudungun,0,6,6,FALSE,South America
Mara,0,5,5,FALSE,Australia
MARANAO,0,4,4,FALSE,Papua
Marathi,4,9,13,TRUE,Eurasia
Masalit,0,10,10,FALSE,Africa
Matbat,0,5,5,FALSE,Papua
Matses,0,6,6,FALSE,South America
Maung,0,5,5,FALSE,Australia
MAUNG,0,5,5,FALSE,Australia
MAXAKALI,0,10,10,FALSE,South America
Mayogo,0,10,10,FALSE,Africa
Mazanderani,0,7,7,FALSE,Eurasia
MBABARAM,0,4,4,FALSE,Australia
Mbalanhu,0,6,6,FALSE,Africa
